time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-11-07T21:24:39.261Z,39.2935,-114.9162,0,2,ml,8,97.51,0.262,0.826,nn,nn00664638,2018-11-08T02:04:54.058Z,"5km NNW of Ely, Nevada",explosion,,0,0.52,3,reviewed,nn,nn
2018-11-07T21:21:11.240Z,19.4034996,-155.2814941,0.61,1.75,ml,21,52,0.01097,0.09,hv,hv70678141,2018-11-07T21:26:56.110Z,"5km WSW of Volcano, Hawaii",earthquake,0.18,0.24,0.27,9,automatic,hv,hv
2018-11-07T21:15:46.460Z,33.4858333,-116.5378333,11.42,0.62,ml,35,85,0.05451,0.15,ci,ci38353512,2018-11-07T21:24:10.755Z,"15km ESE of Anza, CA",earthquake,0.19,0.4,0.153,13,reviewed,ci,ci
2018-11-07T21:14:40.280Z,33.7828333,-118.8176667,-0.31,1.51,ml,19,104,0.3036,0.18,ci,ci38353504,2018-11-08T05:55:23.781Z,"25km S of Malibu, CA",earthquake,0.37,1.35,0.146,11,reviewed,ci,ci
2018-11-07T21:09:50.180Z,38.8353348,-122.7906647,1.69,1.29,md,16,54,0.00308,0.03,nc,nc73108176,2018-11-07T23:11:02.245Z,"6km WNW of Cobb, CA",earthquake,0.26,0.38,0.08,4,automatic,nc,nc
2018-11-07T21:07:26.880Z,40.4688333,-121.4858333,0.11,0.14,md,6,145,0.0175,0.04,nc,nc73108181,2018-11-07T21:37:03.945Z,"14km NNE of Mineral, CA",earthquake,0.47,0.41,0.348,6,reviewed,nc,nc
2018-11-07T21:05:12.930Z,22.9114,122.5164,23.77,5,mb,,97,1.22,1.03,us,us1000hnz2,2018-11-07T21:27:13.040Z,"141km E of Taitung City, Taiwan",earthquake,5,4.9,0.055,106,reviewed,us,us
2018-11-07T21:03:49.610Z,18.3036,-65.8895,118,2.6,md,17,240,0.1666,0.21,pr,pr2018311005,2018-11-08T03:02:30.040Z,"3km ESE of Vieques, Puerto Rico",earthquake,1.73,0.8,0.47,17,reviewed,pr,pr
2018-11-07T21:00:16.630Z,32.829,-117.0385,-0.13,0.62,ml,19,84,0.01761,0.26,ci,ci38353472,2018-11-07T21:18:49.170Z,"6km W of Santee, CA",quarry blast,0.48,31.61,0.15,4,reviewed,ci,ci
2018-11-07T20:36:28.250Z,33.5071667,-116.5043333,13.57,0.36,ml,17,172,0.05492,0.09,ci,ci38353448,2018-11-07T22:56:54.272Z,"17km ESE of Anza, CA",earthquake,0.34,0.54,0.135,5,reviewed,ci,ci
2018-11-07T20:34:44.080Z,37.325,-122.1068333,-0.26,1.48,md,9,99,0.01452,0.05,nc,nc73108171,2018-11-08T02:42:21.911Z,"3km S of Loyola, CA",quarry blast,0.46,31.61,0.187,7,reviewed,nc,nc
2018-11-07T20:25:45.840Z,19.4025002,-155.2411652,1.88,1.77,ml,25,111,0.01943,0.15,hv,hv70678081,2018-11-07T20:31:31.780Z,"3km S of Volcano, Hawaii",earthquake,0.26,0.33,0.25,9,automatic,hv,hv
2018-11-07T20:24:47.630Z,33.4883333,-116.792,5.6,1.13,ml,56,27,0.02497,0.16,ci,ci38353416,2018-11-07T21:17:44.840Z,"8km NE of Aguanga, CA",earthquake,0.13,0.43,0.103,26,reviewed,ci,ci
2018-11-07T20:19:39.659Z,38.2909,-118.7503,11.6,1.4,ml,13,62.93,0.197,0.1318,nn,nn00664633,2018-11-08T02:04:49.696Z,"28km SSW of Hawthorne, Nevada",earthquake,,1.5,0.27,5,reviewed,nn,nn
2018-11-07T20:15:59.690Z,33.4806667,-116.7893333,3.93,0.33,ml,26,48,0.03293,0.15,ci,ci38353400,2018-11-07T21:09:24.401Z,"8km ENE of Aguanga, CA",earthquake,0.18,0.39,0.063,8,reviewed,ci,ci
2018-11-07T20:15:31.930Z,52.0776667,-176.1333333,-0.37,-0.63,ml,5,132,0.02437,0.06,av,av70810279,2018-11-08T00:03:53.710Z,"42km ENE of Adak, Alaska",earthquake,0.32,0.25,0.262,4,reviewed,av,av
2018-11-07T20:05:03.860Z,46.0096667,-112.4711667,-2,1.71,ml,8,113,0.06,0.11,mb,mb80322394,2018-11-07T20:42:31.210Z,"4km E of Butte, Montana",quarry blast,0.63,31.61,0.228,8,reviewed,mb,mb
2018-11-07T20:02:47.650Z,36.0358333,-121.5781667,9.17,1.49,md,15,180,0.222,0.07,nc,nc73108151,2018-11-08T03:57:03.277Z,"2km NNW of Lopez Point, CA",earthquake,0.44,1.73,0.235,14,reviewed,nc,nc
2018-11-07T20:01:20.600Z,61.5177,-146.5131,19,2,ml,,,,0.73,ak,ak20334721,2018-11-07T20:30:33.431Z,"44km NNW of Valdez, Alaska",earthquake,,0.4,,,automatic,ak,ak
2018-11-07T19:57:57.650Z,34.9923333,-118.1876667,-1.18,1.51,ml,8,136,0.1181,0.19,ci,ci38353368,2018-11-07T21:09:14.503Z,"7km S of Mojave, CA",quarry blast,0.6,31.61,0.147,8,reviewed,ci,ci
2018-11-07T19:57:56.106Z,69.3341,-143.7307,0.9,2.9,ml,,,,0.94,ak,ak20334720,2018-11-07T20:10:54.108Z,"89km S of Kaktovik, Alaska",earthquake,,3.5,,,automatic,ak,ak
2018-11-07T19:49:38.530Z,36.6001,-117.0832,6.3,-0.1,ml,6,269.3,0.152,0.1684,nn,nn00664673,2018-11-08T02:05:25.135Z,"44km SW of Beatty, Nevada",earthquake,,4.1,0.32,6,reviewed,nn,nn
2018-11-07T19:36:13.870Z,33.4901667,-116.783,3.91,0.55,ml,23,81,0.02647,0.13,ci,ci38353288,2018-11-07T21:05:27.474Z,"9km NE of Aguanga, CA",earthquake,0.19,0.38,0.096,17,reviewed,ci,ci
2018-11-07T19:28:52.810Z,51.7333333,-178.7915,15.93,0.8,ml,4,290,0.02951,0.27,av,av61813796,2018-11-08T01:11:42.400Z,"47km WSW of Tanaga Volcano, Alaska",earthquake,4.9,1.84,0.293,2,reviewed,av,av
2018-11-07T19:28:52.270Z,33.9881667,-116.9258333,9.52,0.74,ml,21,180,0.1087,0.13,ci,ci38353264,2018-11-07T21:02:11.734Z,"8km NE of Beaumont, CA",earthquake,0.34,0.98,0.208,14,reviewed,ci,ci
2018-11-07T19:24:19.310Z,33.9876667,-116.9303333,7.38,0.98,ml,35,64,0.0782,0.12,ci,ci38353256,2018-11-07T20:58:54.593Z,"8km NNE of Beaumont, CA",earthquake,0.18,0.74,0.159,19,reviewed,ci,ci
2018-11-07T19:20:50.799Z,69.301,-144.1033,0,2.7,ml,,,,1,ak,ak20334712,2018-11-07T19:30:45.514Z,"94km SSW of Kaktovik, Alaska",earthquake,,0.8,,,automatic,ak,ak
2018-11-07T19:10:06.723Z,63.4817,-155.2277,8.2,2,ml,,,,1.28,ak,ak20334710,2018-11-07T19:14:49.929Z,"61km NNE of McGrath, Alaska",earthquake,,0.2,,,automatic,ak,ak
2018-11-07T19:02:56.310Z,33.5123333,-116.7963333,4.34,0.17,ml,17,70,0.003356,0.08,ci,ci38353208,2018-11-07T20:47:32.305Z,"10km NE of Aguanga, CA",earthquake,0.19,0.25,0.065,9,reviewed,ci,ci
2018-11-07T19:01:46.600Z,38.8095016,-122.7959976,1.57,0.96,md,14,72,0.01254,0.05,nc,nc73108136,2018-11-07T19:35:02.961Z,"5km NW of The Geysers, CA",earthquake,0.33,0.47,0.08,4,automatic,nc,nc
2018-11-07T18:50:22.970Z,38.838665,-122.7558365,0.87,1.35,md,11,125,0.0137,0.03,nc,nc73108131,2018-11-07T20:16:03.209Z,"3km WNW of Cobb, CA",earthquake,0.29,0.64,0.08,3,automatic,nc,nc
2018-11-07T18:47:13.409Z,63.1768,-152.7433,8.6,1.4,ml,,,,0.55,ak,ak20334705,2018-11-07T18:50:25.771Z,"146km E of McGrath, Alaska",earthquake,,0.5,,,automatic,ak,ak
